n,ecg_data_interp,ecg_signal_quant
399,1.51819851873799,7896
400,1.52668831168623,7940
401,1.53443298586931,7981
402,1.54161615023471,8018
403,1.54774222417522,8050
404,1.55240259740053,8074
405,1.5544882555711,8085
406,1.55535127049767,8089
407,1.55557776398796,8090
408,1.55571428571218,8091
409,1.55579453212575,8092
410,1.55658285431652,8096
411,1.55821790935105,8104
412,1.56058441558228,8117
413,1.5625763101857,8127
414,1.56509097463844,8140
415,1.56810919607878,8156
416,1.57149350649138,8173
417,1.57441603102287,8188
418,1.57750253975963,8205
419,1.58068430134684,8221
420,1.58376623376412,8237
421,1.58577477398184,8248
422,1.58740031503126,8256
423,1.58855485816401,8262
424,1.58902597402388,8264
425,1.58793393651175,8259
426,1.5858470512434,8248
427,1.58272388590958,8232
428,1.57850649350438,8210
429,1.57229830980769,8177
430,1.56551501874965,8142
431,1.5586819617079,8107
432,1.55220779220564,8073
433,1.54593782035459,8040
434,1.54058894282642,8013
435,1.53630960074277,7990
436,1.53311688311469,7974
437,1.53004512464414,7958
438,1.52853319935191,7950
439,1.52901577084395,7952
440,1.53175324675104,7967
441,1.53623878810179,7990
442,1.5430749107965,8025
443,1.55202297053747,8072
444,1.5625324675303,8127
445,1.57324683090641,8182
446,1.58414238691087,8239
447,1.59455635337491,8293
448,1.60383116882906,8341
449,1.61040157053337,8376
450,1.61544770696911,8402
451,1.61918876645329,8421
452,1.62175324675116,8435
453,1.62295140334613,8441
454,1.62279229218882,8440
455,1.62100021302794,8431
456,1.61727272727062,8411
457,1.61019167966151,8375
458,1.6017376925838,8331
459,1.5927450163209,8284
460,1.5839610389589,8238
461,1.57577135220786,8196
462,1.56862340506941,8158
463,1.56252925354152,8127
464,1.55727272727055,8099
465,1.55146072297137,8069
466,1.5464979426552,8043
467,1.54266813992841,8023
468,1.5401298701277,8010
469,1.53854265622876,8002
470,1.53822677631479,8000
471,1.53899489041832,8004
472,1.54051948051732,8012
473,1.54153768856457,8017
474,1.54308419759263,8026
475,1.54527405149792,8037
476,1.54811688311476,8052
477,1.55087400496097,8066
478,1.55422591444385,8083
479,1.55803770339184,8103
480,1.56194805194596,8124
481,1.56487691297848,8139
482,1.56705762934794,8150
483,1.56813815932386,8156
484,1.56779220779013,8154
485,1.56487193700231,8139
486,1.56080787490773,8118
487,1.556161057725,8094
488,1.55142857142647,8069
489,1.54662649601561,8044
490,1.54241915258471,8022
491,1.53891856132711,8004
492,1.53603896103684,7989
493,1.53259655424982,7971
494,1.5299010452121,7957
495,1.52817591055426,7948
496,1.52746753246542,7944
497,1.52733589559867,7944
498,1.52789894394179,7947
499,1.52884722593435,7951
500,1.52980519480309,7956
501,1.52945475408075,7955
502,1.52912044205519,7953
503,1.52915667198457,7953
504,1.52980519480312,7956
505,1.530737134012,7961
506,1.53233413702956,7970
507,1.53433449963851,7980
508,1.53623376623172,7990
509,1.53648146294702,7991
510,1.53582278272782,7988
511,1.53406462963418,7979
512,1.530974025972,7963
513,1.52589321666701,7936
514,1.5193094036538,7902
515,1.51137001058371,7861
516,1.50233766233559,7814
517,1.49173661736264,7758
518,1.48157233774774,7706
519,1.47296699508026,7661
520,1.46688311688097,7629
521,1.46350807559233,7612
522,1.46388937068408,7614
523,1.46812819906412,7636
524,1.47584415584201,7676
525,1.48560528496546,7727
526,1.49736549844273,7788
527,1.51022626443893,7855
528,1.52318181817975,7922
529,1.53450573542906,7981
530,1.54451184484508,8033
531,1.55289109174522,8077
532,1.55941558441358,8110
533,1.56336455603278,8131
534,1.56549006191266,8142
535,1.56596204700672,8144
536,1.56487012986812,8139
537,1.56161077479911,8122
538,1.55711015808177,8098
539,1.55159405937083,8070
540,1.54519480519277,8036
541,1.53725903676823,7995
542,1.52898335133098,7952
543,1.5207612721072,7909
544,1.51285714285508,7868
545,1.50485996961146,7827
546,1.49761085017136,7789
547,1.4912568711451,7756
548,1.48577922077715,7727
549,1.48039480969474,7699
550,1.47589086024902,7676
551,1.47231723920183,7657
552,1.46961038960834,7643
553,1.46698839982755,7630
554,1.46521413651973,7621
555,1.4643110611982,7616
556,1.46415584415382,7615
557,1.46380152658538,7613
558,1.46396125805602,7614
559,1.46450574076039,7617
560,1.46512987012789,7620
561,1.46490470119834,7619
562,1.46408930146462,7615
563,1.46242426999872,7606
564,1.45967532467336,7592
565,1.45479397387481,7566
566,1.44924582748205,7537
567,1.44362458714013,7508
568,1.43844155843957,7481
569,1.43373958775702,7457
570,1.43013154099761,7438
571,1.42770600618227,7425
572,1.42636363636162,7418
