t_recon,spikes,analog_signal,recon,squared_error
1.01200646,0.25,2.67726440003414,2.68125,1.58850070878403e-05
1.0135887,0.25,2.78067752222887,2.784375,1.36713418680271e-05
1.01540688,0.25,2.88566661222342,2.8875,3.36131073929235e-06
1.01754602,0.25,2.98847328152489,2.990625,4.6298923961339e-06
1.02054874,0.25,3.09171535577757,3.09375,4.13977711185939e-06
1.03254176,-0.25,2.98471837761409,2.990625,3.48881880097685e-05
1.03466602,-0.25,2.88175859590512,2.8875,3.29637209806564e-05
1.03643294,-0.25,2.77933626455606,2.784375,2.53888548740067e-05
1.03801142,-0.25,2.67603579866102,2.68125,2.718789560346e-05
1.03945756,-0.25,2.57251782998707,2.578125,3.14403555538452e-05
1.04080142,-0.25,2.46947942891486,2.475,3.04767051060818e-05
1.04206226,-0.25,2.36748294421143,2.371875,1.92901540499263e-05
1.04329104,-0.25,2.26374424656018,2.26875,2.5057567500301e-05
1.04446088,-0.25,2.16157434408848,2.165625,1.64078133134967e-05
1.0456122,-0.25,2.05832162163705,2.0625,1.74588457439306e-05
1.0467426,-0.25,1.95486385299042,1.959375,2.03504473420606e-05
1.04784334,-0.25,1.85263893812927,1.85625,1.30397678342538e-05
1.04893586,-0.25,1.75021812217357,1.753125,8.44993869776884e-06
1.0500295,-0.25,1.64721969209358,1.65,7.73011205449372e-06
1.05111868,-0.25,1.54465368795818,1.546875,4.93422718713932e-06
1.05221256,-0.25,1.44214216765075,1.44375,2.58512486328297e-06
1.05333134,-0.25,1.33831622810964,1.340625,5.33042764171467e-06
1.05445262,-0.25,1.23580334184509,1.2375,2.87864889461448e-06
1.0555973,-0.25,1.1332745013468,1.134375,1.21109728570564e-06
1.05677976,-0.25,1.03017322610887,1.03125,1.15944201262816e-06
1.05800802,-0.25,0.9267072091531,0.928125,2.01013088555459e-06
1.0592726,-0.25,0.824686334359487,0.825,9.83861340388798e-08
1.06061874,-0.25,0.721822477856838,0.721875,2.75857552239766e-09
1.06204938,-0.25,0.619791701367835,0.61875,1.08514173974929e-06
1.0636168,-0.25,0.517583946007701,0.515625,3.83746946108539e-06
1.06541376,-0.25,0.413965902903226,0.4125,2.14887132168515e-06
1.06753764,-0.25,0.311883427753747,0.309375,6.29220979576789e-06
