t_recon,spikes,recon,th
1.271123,0.25,1.559765625,0.512890625
1.27197775,0.25,1.57265625,0.512890625
1.273190875,0.25,1.585546875,0.512890625
1.281858125,-0.25,1.559765625,0.52578125
1.28263025,-0.25,1.546875,0.512890625
1.285563125,0.25,1.559765625,0.512890625
1.28632175,0.25,1.57265625,0.512890625
1.287289,0.25,1.585546875,0.512890625
1.290131,-0.25,1.559765625,0.52578125
1.29231325,-0.25,1.533984375,0.52578125
1.318995,0.25,1.559765625,0.52578125
1.32146425,-0.25,1.546875,0.512890625
1.3220915,-0.25,1.533984375,0.512890625
1.322733,-0.25,1.52109375,0.512890625
1.329597125,0.25,1.546875,0.52578125
1.333962375,-0.25,1.533984375,0.512890625
1.3367935,0.25,1.546875,0.512890625
1.3382165,0.25,1.559765625,0.512890625
1.341261125,-0.25,1.546875,0.512890625
1.343502,0.25,1.559765625,0.512890625
1.348608625,0.25,1.57265625,0.512890625
1.349353,0.25,1.585546875,0.512890625
1.349923375,0.25,1.5984375,0.512890625
1.351352625,0.25,1.62421875,0.52578125
1.386900375,-0.25,1.57265625,0.5515625
1.390694375,-0.25,1.546875,0.52578125
1.391745875,-0.25,1.52109375,0.52578125
1.39246125,-0.25,1.4953125,0.52578125
1.39416075,-0.25,1.44375,0.5515625
1.415436125,0.25,1.546875,0.603125
1.431484375,-0.25,1.4953125,0.5515625
1.4353005,0.25,1.52109375,0.52578125
1.437873125,-0.25,1.508203125,0.512890625
1.4384965,-0.25,1.4953125,0.512890625
1.439153375,-0.25,1.482421875,0.512890625
1.44859675,0.25,1.508203125,0.52578125
1.450581375,-0.25,1.4953125,0.512890625
1.45124525,-0.25,1.482421875,0.512890625
1.451903,-0.25,1.46953125,0.512890625
1.45496225,0.25,1.4953125,0.52578125
1.458827,-0.25,1.46953125,0.52578125
1.45994825,-0.25,1.456640625,0.512890625
1.46609325,-0.25,1.44375,0.512890625
1.467912125,0.25,1.456640625,0.512890625
1.4721535,-0.25,1.44375,0.512890625
1.47339825,0.25,1.456640625,0.512890625
1.4741575,0.25,1.46953125,0.512890625
1.475325,0.25,1.482421875,0.512890625
1.4779875,-0.25,1.456640625,0.52578125
1.48156375,0.25,1.482421875,0.52578125
1.48253625,0.25,1.4953125,0.512890625
1.485778625,0.25,1.508203125,0.512890625
1.486871875,0.25,1.52109375,0.512890625
1.48782225,0.25,1.533984375,0.512890625
1.503594625,-0.25,1.508203125,0.52578125
1.509508625,-0.25,1.4953125,0.512890625
1.51014725,-0.25,1.482421875,0.512890625
1.510919125,-0.25,1.46953125,0.512890625
1.51333225,0.25,1.4953125,0.52578125
1.5175315,-0.25,1.44375,0.5515625
1.52429475,-0.25,1.41796875,0.52578125
1.52521925,-0.25,1.405078125,0.512890625
1.527735125,0.25,1.41796875,0.512890625
1.530070875,0.25,1.430859375,0.512890625
1.530772625,0.25,1.44375,0.512890625
1.53155975,0.25,1.46953125,0.52578125
1.532666875,0.25,1.52109375,0.5515625
1.534924625,0.25,1.62421875,0.603125
1.536895625,0.25,1.72734375,0.603125
1.53825175,0.25,1.83046875,0.603125
1.539317875,0.25,1.93359375,0.603125
1.5402645,0.25,2.03671875,0.603125
1.5411435,0.25,2.13984375,0.603125
1.541989125,0.25,2.24296875,0.603125
1.542818125,0.25,2.34609375,0.603125
1.5436285,0.25,2.44921875,0.603125
1.544403875,0.25,2.55234375,0.603125
1.545157,0.25,2.65546875,0.603125
